Song Name,Artist,Release Date,YouTube Link
รักแรกพบ,Tattoo Colour,30 พ.ย. 2022,https://www.youtube.com/watch?v=MkBJvvvg2a4&t=651s
รักเธอย้ำย้ำ,Mycara Melony,30 พ.ย. 2022,https://www.youtube.com/watch?v=MkBJvvvg2a4&t=954s
ไปต่างโลก,Pixela Isekai,30 พ.ย. 2022,https://www.youtube.com/watch?v=MkBJvvvg2a4&t=2321s
คู่ชีวิต,Cocktail,30 พ.ย. 2022,https://www.youtube.com/watch?v=MkBJvvvg2a4&t=3862s
กอดฉันที,Mycara Melony,30 พ.ย. 2022,https://www.youtube.com/watch?v=MkBJvvvg2a4&t=4176s
ไม่บอกเธอ,Bedroom Audio,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=1047s
แค่คุณ,Musketeers,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=1967s
อย่างน้อย,Big Ass,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=2889s
ร่มสีเทา,วัชราวลี,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=3735s
ไกลแค่ไหนคือใกล้,Getsunova,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=4351s
คุกเข่า,Cocktail,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=4941s
กอดฉันที,Mycara Melony,3 ธ.ค. 2022,https://www.youtube.com/watch?v=Eq-TxaXDqmo&t=5425s
ลมหนาวแสนพิเศษ (Snow Melody),Mycara Melony,6 ธ.ค. 2022,https://www.youtube.com/watch?v=8pxJLUbb96A&t=4007s
เฮอร์ไมโอน้อง,อูน TheChanisara,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=1236s
Like Flames,MindaRyn,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=1698s
เลือกได้ไหม,ZAZA,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=2365s
ฟ้า,Tattoo Colour,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=3301s
Unloveable,Mild,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=3805s
Suberidai,Reborn ED9,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=4153s
เธอยัง,Potato,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=4663s
ที่รัก (เธอ),เอก สุระเชษฐ์,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=5540s
PLEASE,อะตอม ชนกันต์,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=6263s
ฉลามชอบงับคุณ,Bonnadol,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=6853s
ลงใจ,BOWKYLION,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=7508s
รักเธอย้ำย้ำ,Mycara Melony,12 ธ.ค. 2022,https://www.youtube.com/watch?v=bn3UkgXNpkY&t=7961s
ซูลูปาก้า ตาปาเฮ้,themoonwillalwaysbewithme,14 ธ.ค. 2022,https://youtu.be/6fQiCX46JbM
Secret Base,AnoHana ED,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=1647s
ANIMA,SAO OP,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=2740s
Reaching You,Kimi Ni Todoke,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=3522s
Silhouette,Naruto OP16,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=4195s
Gurenge,Kimetsu no Yaiba OP,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=4795s
Unravel,Tokyo Ghoul OP,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=5389s
Fly High,Haikyuu OP2,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=6100s
Drawing Days,Reborn OP1,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=6847s
Nandemonaiya,Your Name,18 ธ.ค. 2022,https://www.youtube.com/watch?v=Y4urX5ce22w&t=7411s
กอดฉันที,Mycara Melony,20 ธ.ค. 2022,https://www.youtube.com/watch?v=6XpgBE8KLgU&t=4689s
โตแล้ว,KANGSOMKS x Ryo,22 ธ.ค. 2022,https://www.youtube.com/watch?v=O74WVd4PEsY&t=3484s
กอดฉันที,Mycara Melony,22 ธ.ค. 2022,https://youtu.be/wifvnNM8FpY
Last Christmas,Wham!,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=1147s
Merry Christmas,Ed Sheeran & Elton John,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=1204s
ฟ้า,Tattoo Colour,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=2012s
ลม,Num Kala,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=2524s
คนไกล,Patrickananda,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=2645s
Meri Kuri,BoA,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=3378s
Dry Flower,Yuuri,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=3475s
Back To December,Taylor Swift,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=4174s
Winter Things,Ariana Grande,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=4271s
คำถาม,PUNYARB,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=4879s
04:00,THE TOYS,23 ธ.ค. 2022,https://www.youtube.com/watch?v=QFQsY3KnDkE&t=5005s
